title,link,category,description,telephone,address,roadAddress,mapx,mapy,search_input,split_list,input_search,stores_url,file_names
오카방고,http://instagram.com/o.kavango,"음식점>카페,디저트",,,경기도 용인시 기흥구 보정동 1187-1,경기도 용인시 기흥구 죽전로15번길 11-17 (1층 오카방고),321237,524776,경기도 용인시 기흥구 마북동 마카롱,"카페,디저트",경기도 용인시 기흥구 마북동 오카방고,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20오카방고&sm=hty&style=v5#/list,오카방고.jpg
르헤브드베베,http://www.lerevedebebe.com/,"카페,디저트>카페",,,경기도 용인시 수지구 죽전동 1345-2,경기도 용인시 수지구 죽전로168번길 3-3 RED ZONE,322712,525273,경기도 용인시 기흥구 마북동 마카롱,카페,경기도 용인시 기흥구 마북동 르헤브드베베,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20르헤브드베베&sm=hty&style=v5#/list,르헤브드베베.jpg
브레들리  베이커리,http://www.breadly.co.kr,"카페,디저트>베이커리",,,경기도 용인시 기흥구 마북동 524-1 빌딩1층,경기도 용인시 기흥구 용구대로2394번길 2 빌딩1층,321098,522376,경기도 용인시 기흥구 마북동 베이커리,베이커리,경기도 용인시 기흥구 마북동 브레들리  베이커리,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20브레들리%20%20베이커리%20&sm=hty&style=v5#/list,브레들리  베이커리.jpg
몽소 용인점,,"카페,디저트>베이커리",,,"경기도 용인시 기흥구 마북동 394-10 1층,2층","경기도 용인시 기흥구 마북로 15 1층,2층",321720,521668,경기도 용인시 기흥구 마북동 베이커리,베이커리,경기도 용인시 기흥구 마북동 몽소 용인점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20몽소%20용인점&sm=hty&style=v5#/list,몽소 용인점.jpg
파리바게뜨 구성점,https://www.paris.co.kr/,"카페,디저트>베이커리",,,경기도 용인시 기흥구 마북동 524-8,경기도 용인시 기흥구 연원로 8,321098,522431,경기도 용인시 기흥구 마북동 베이커리,베이커리,경기도 용인시 기흥구 마북동 파리바게뜨 구성점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20파리바게뜨%20구성점&sm=hty&style=v5#/list,파리바게뜨 구성점.jpg
아임홈,,"카페,디저트>카페",,,경기도 용인시 기흥구 보정동 1183-8,경기도 용인시 기흥구 죽전로15번길 16-1,321334,524829,경기도 용인시 기흥구 마북동 빙수,카페,경기도 용인시 기흥구 마북동 아임홈,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20아임홈&sm=hty&style=v5#/list,아임홈.jpg
카페 레아0306,http://www.instagram.com/rhea0306_and_brown_melo/,"카페,디저트>카페",,,경기도 용인시 수지구 풍덕천동 1080-9 하나로프라자 1층 107호,경기도 용인시 수지구 풍덕천로 122 하나로프라자 1층 107호,320038,524896,경기도 용인시 기흥구 마북동 빙수,카페,경기도 용인시 기흥구 마북동 카페 레아0306,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20카페%20레아0306&sm=hty&style=v5#/list,카페 레아0306.jpg
백금당 용인점,http://instagram.com/baekgeumdang_yongin,"음식점>카페,디저트",,,경기도 용인시 기흥구 보정동 1199-5 1층,경기도 용인시 기흥구 죽전로27번길 14-12 1층,321527,524840,경기도 용인시 기흥구 마북동 빙수,"카페,디저트",경기도 용인시 기흥구 마북동 백금당 용인점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20백금당%20용인점&sm=hty&style=v5#/list,백금당 용인점.jpg
한입 샐러드  샌드위치 &디저트&퍼펙트아이스,,"음식점>카페,디저트",,,"경기도 용인시 기흥구 마북동 630 상가동 2층 207호 (마북동, 교동마을현대홈타운)",경기도 용인시 기흥구 마북로 124-9,322444,522456,경기도 용인시 기흥구 마북동 샌드위치,"카페,디저트",경기도 용인시 기흥구 마북동 한입 샐러드  샌드위치 &디저트&퍼펙트아이스,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20한입%20샐러드%20%20샌드위치%20&디저트&퍼펙트아이스&sm=hty&style=v5#/list,한입 샐러드  샌드위치 &디저트&퍼펙트아이스.jpg
CAFE SUJI,,"카페,디저트>카페",,,경기도 용인시 수지구 풍덕천동 718-6 1층 CAFE SUJI,경기도 용인시 수지구 풍덕천로130번길 3,320121,524956,경기도 용인시 기흥구 마북동 생과일쥬스,카페,경기도 용인시 기흥구 마북동 CAFE SUJI,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20CAFE%20SUJI&sm=hty&style=v5#/list,CAFE SUJI.jpg
커피보틀,https://www.instagram.com/coffee_bottle_estd2015,"음식점>카페,디저트",,,경기도 용인시 수지구 풍덕천동 1168 상가 2층 212호,경기도 용인시 수지구 진산로 96 상가 2층 212호,320188,524532,경기도 용인시 기흥구 마북동 생과일쥬스,"카페,디저트",경기도 용인시 기흥구 마북동 커피보틀,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20커피보틀&sm=hty&style=v5#/list,커피보틀.jpg
이프아이엔지 ifing,https://www.instagram.com/if_ing.cafe,"음식점>카페,디저트",,,경기도 용인시 기흥구 보정동 1186-8 1층 ifing 이프아이엔지,경기도 용인시 기흥구 죽전로15번길 11-2 1층 ifing 이프아이엔지,321319,524794,경기도 용인시 기흥구 마북동 와플,"카페,디저트",경기도 용인시 기흥구 마북동 이프아이엔지 ifing,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20이프아이엔지%20ifing&sm=hty&style=v5#/list,이프아이엔지 ifing.jpg
비니비니,https://blog.naver.com/beanyvinny,"음식점>카페,디저트",,,경기도 용인시 기흥구 보정동 1265-1,경기도 용인시 기흥구 죽전로 46 타워시티 102호,321669,524637,경기도 용인시 기흥구 마북동 와플,"카페,디저트",경기도 용인시 기흥구 마북동 비니비니,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20비니비니&sm=hty&style=v5#/list,비니비니.jpg
디저트39 용인보정점,,"카페,디저트>카페",,,경기도 용인시 기흥구 보정동 1208-3 야후빌딩 104호 디저트39 용인보정점,경기도 용인시 기흥구 죽전로 53 야후빌딩 104호 디저트39 용인보정점,321731,524673,경기도 용인시 기흥구 마북동 젤리,카페,경기도 용인시 기흥구 마북동 디저트39 용인보정점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20디저트39%20용인보정점&sm=hty&style=v5#/list,디저트39 용인보정점.jpg
디저트39 용인수지구청점,,"카페,디저트>카페",,,경기도 용인시 수지구 풍덕천동 1080-11 103호,경기도 용인시 수지구 수지로296번길 51-11 103호,320014,524859,경기도 용인시 기흥구 마북동 젤리,카페,경기도 용인시 기흥구 마북동 디저트39 용인수지구청점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20디저트39%20용인수지구청점&sm=hty&style=v5#/list,디저트39 용인수지구청점.jpg
브릴랑,https://www.instagram.com/cafebrillant,"음식점>카페,디저트",,,경기도 용인시 기흥구 보정동 1181-9 1층,경기도 용인시 기흥구 죽전로15번길 15-12 1층,321282,524834,경기도 용인시 기흥구 마북동 초콜렛,"카페,디저트",경기도 용인시 기흥구 마북동 브릴랑,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20브릴랑&sm=hty&style=v5#/list,브릴랑.jpg
